match_id,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5235629643,BRONZE,I,11.8,1478,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
EUW1_5235682062,BRONZE,I,11.8,1752,EUW1,100.0,200.0,200.0,100.0,,100.0,100.0
EUW1_5235361225,BRONZE,I,11.8,2013,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,200.0
EUW1_5235292289,BRONZE,I,11.8,2237,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5235167603,BRONZE,I,11.8,1969,EUW1,100.0,200.0,100.0,100.0,200.0,200.0,200.0
EUW1_5234191351,BRONZE,I,11.8,2099,EUW1,100.0,100.0,200.0,200.0,100.0,200.0,100.0
EUW1_5234025301,BRONZE,I,11.8,1909,EUW1,100.0,200.0,100.0,100.0,200.0,100.0,200.0
EUW1_5233867701,BRONZE,I,11.8,1680,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5233769873,BRONZE,I,11.8,1710,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5233722947,BRONZE,I,11.8,1837,EUW1,100.0,100.0,200.0,100.0,,200.0,200.0
EUW1_5233419903,BRONZE,I,11.8,1330,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5233373806,BRONZE,I,11.8,1703,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
EUW1_5233295553,BRONZE,I,11.8,2168,EUW1,100.0,100.0,100.0,100.0,200.0,200.0,100.0
EUW1_5233240827,BRONZE,I,11.8,1836,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5233185115,BRONZE,I,11.8,1424,EUW1,200.0,200.0,100.0,200.0,,200.0,200.0
EUW1_5232569330,BRONZE,I,11.8,1542,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5232617045,BRONZE,I,11.8,1193,EUW1,100.0,100.0,200.0,,,100.0,
EUW1_5232587080,BRONZE,I,11.8,198,EUW1,100.0,100.0,,,,,
EUW1_5232574742,BRONZE,I,11.8,1656,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,200.0
EUW1_5232590933,BRONZE,I,11.8,2380,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5232515749,BRONZE,I,11.8,2364,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5226653451,BRONZE,I,11.8,964,EUW1,100.0,100.0,100.0,,,100.0,
EUW1_5226550292,BRONZE,I,11.8,1002,EUW1,100.0,100.0,100.0,,,100.0,100.0
EUW1_5226483078,BRONZE,I,11.8,1759,EUW1,100.0,200.0,100.0,100.0,,200.0,100.0
EUW1_5223084065,BRONZE,I,11.8,2174,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5222907293,BRONZE,I,11.8,1599,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5222709339,BRONZE,I,11.8,1899,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5221467340,BRONZE,I,11.8,1861,EUW1,100.0,100.0,200.0,200.0,100.0,100.0,200.0
EUW1_5221395471,BRONZE,I,11.8,1892,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5221440605,BRONZE,I,11.8,2028,EUW1,100.0,200.0,200.0,200.0,100.0,100.0,200.0
EUW1_5209522194,BRONZE,I,11.7,2037,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
EUW1_5209480818,BRONZE,I,11.7,1383,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
