match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5524064211,11.21,1446,EUW1,200,200,200,200,200,100,200
EUW1_5524051818,11.21,1552,EUW1,200,100,100,200,200,200,100
EUW1_5523968452,11.21,1356,EUW1,200,100,200,,,200,100
EUW1_5523896812,11.21,2176,EUW1,100,200,200,100,200,100,200
EUW1_5522475945,11.21,1477,EUW1,200,200,200,100,200,100,200
EUW1_5522484053,11.21,828,EUW1,100,100,100,100,,100,100
EUW1_5522279163,11.21,1386,EUW1,200,200,100,,,200,100
EUW1_5522286153,11.21,2383,EUW1,200,100,200,200,100,200,100
EUW1_5520979888,11.21,1646,EUW1,200,100,200,200,200,100,100
EUW1_5520956381,11.21,1365,EUW1,100,100,100,,,100,100
EUW1_5520923208,11.21,1131,EUW1,100,100,100,100,,200,200
EUW1_5519552954,11.21,1037,EUW1,100,100,100,,,100,200
EUW1_5519391559,11.21,1929,EUW1,100,100,200,100,200,200,200
EUW1_5513150217,11.20,1748,EUW1,100,200,100,100,100,100,100
EUW1_5513155957,11.20,1225,EUW1,100,100,200,,,200,200
EUW1_5534053931,11.21,1892,EUW1,100,200,200,100,100,100,200
EUW1_5532495349,11.21,1399,EUW1,100,200,100,100,100,100,200
EUW1_5532438057,11.21,1997,EUW1,200,200,100,100,100,100,100
EUW1_5532363735,11.21,1573,EUW1,200,100,100,200,200,100,100
EUW1_5525012536,11.21,1298,EUW1,200,200,200,,,200,200
EUW1_5523642941,11.21,1464,EUW1,100,200,100,100,100,100,100
EUW1_5523516744,11.21,1349,EUW1,200,200,100,200,,200,200
EUW1_5523409429,11.21,1970,EUW1,100,100,100,100,200,100,200
EUW1_5523379302,11.21,1913,EUW1,200,200,100,200,200,200,100
EUW1_5521857217,11.21,1405,EUW1,200,200,200,200,200,100,200
EUW1_5521809871,11.21,1745,EUW1,200,100,100,200,200,200,100
EUW1_5521793580,11.21,1725,EUW1,200,200,100,200,200,200,100
EUW1_5513689511,11.20,1432,EUW1,100,100,100,100,100,100,100
EUW1_5513721775,11.20,1540,EUW1,200,200,200,200,200,200,100
EUW1_5513537621,11.20,1577,EUW1,100,200,100,100,100,100,100
EUW1_5512733896,11.20,1607,EUW1,100,100,100,200,100,200,100
EUW1_5512709962,11.20,1556,EUW1,100,100,100,100,100,200,100
EUW1_5512569161,11.20,2408,EUW1,200,100,100,100,100,100,100
EUW1_5512612072,11.20,1615,EUW1,100,100,100,100,,100,100
EUW1_5512439753,11.20,1537,EUW1,200,200,200,200,200,200,200
EUW1_5512434477,11.20,1469,EUW1,200,200,200,,200,200,200
EUW1_5512357344,11.20,1599,EUW1,100,100,200,100,100,200,100
EUW1_5512270062,11.20,1608,EUW1,100,100,100,100,100,100,100
EUW1_5511027534,11.20,1890,EUW1,100,200,100,200,200,100,100
EUW1_5504958482,11.20,1088,EUW1,100,100,100,100,,200,100
EUW1_5534628303,11.21,1718,EUW1,100,100,100,100,100,200,100
EUW1_5533817599,11.21,1534,EUW1,200,200,200,200,200,200,200
EUW1_5532970669,11.21,1721,EUW1,200,200,100,200,200,100,100
EUW1_5531527428,11.21,1329,EUW1,200,200,200,,200,200,200
EUW1_5531543803,11.21,1873,EUW1,200,200,100,200,200,100,100
EUW1_5529993986,11.21,1635,EUW1,200,200,100,200,200,100,100
EUW1_5529942118,11.21,1113,EUW1,100,200,100,,,100,100
EUW1_5529838581,11.21,1872,EUW1,100,100,100,100,100,200,
EUW1_5529827107,11.21,945,EUW1,100,100,100,,,200,100
EUW1_5528281634,11.21,925,EUW1,200,100,200,,,200,100
EUW1_5528127957,11.21,1880,EUW1,200,200,100,200,200,200,100
EUW1_5527578290,11.21,2168,EUW1,100,200,200,100,200,200,100
EUW1_5527308305,11.21,1215,EUW1,100,200,100,100,,200,100
EUW1_5527312168,11.21,1680,EUW1,100,200,100,100,100,100,100
EUW1_5526958312,11.21,1887,EUW1,200,100,100,200,200,200,200
EUW1_5526887357,11.21,1564,EUW1,100,100,200,,100,200,100
EUW1_5526921454,11.21,1756,EUW1,200,100,200,100,100,100,200
EUW1_5525225708,11.21,969,EUW1,200,100,200,,,200,200
EUW1_5525243414,11.21,1268,EUW1,200,200,200,200,,200,200
EUW1_5524805628,11.21,1842,EUW1,200,100,200,200,200,100,200
EUW1_5524710161,11.21,1448,EUW1,200,100,200,200,200,200,200
EUW1_5524705450,11.21,1033,EUW1,200,200,200,200,,200,200
EUW1_5524480515,11.21,1568,EUW1,200,200,200,200,200,100,200
EUW1_5524072077,11.21,1568,EUW1,100,200,200,100,100,200,200
EUW1_5523949728,11.21,1937,EUW1,100,100,100,100,100,100,200
EUW1_5534109276,11.21,1255,EUW1,100,100,100,100,,100,100
EUW1_5534055193,11.21,1331,EUW1,100,100,100,100,100,100,100
EUW1_5533817599,11.21,1534,EUW1,200,200,200,200,200,200,200
EUW1_5533738324,11.21,1401,EUW1,100,100,200,,,100,100
EUW1_5533623983,11.21,1745,EUW1,200,200,200,200,200,100,200
EUW1_5533508945,11.21,1155,EUW1,100,100,100,100,,200,100
EUW1_5532239984,11.21,2257,EUW1,200,100,200,100,100,100,200
EUW1_5532098004,11.21,1221,EUW1,100,200,200,,,200,200
EUW1_5532121260,11.21,1250,EUW1,200,200,200,,,100,100
