,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
18312,BRONZE,1137,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-13,-7181,-27,-13918,1,9,0,-1,-1
6856,BRONZE,1768,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,10,3295,24,-2658,0,-2,0,1,0
21774,BRONZE,1728,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,4,1354,44,-1513,1,4,0,0,1
1543,BRONZE,2415,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1,367,-13,-895,0,3,0,-2,0
22762,BRONZE,1906,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-9,-4258,-111,-8452,0,4,0,-1,-1
2774,BRONZE,952,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12,11043,114,14677,-3,-12,0,1,1
4840,BRONZE,1837,-1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,2,1449,-17,3336,-1,-1,0,1,0
5187,BRONZE,1719,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-2,-3726,-58,-4797,1,11,0,-2,-1
25341,BRONZE,2243,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,5,3123,29,11147,0,-5,0,0,1
15013,BRONZE,1435,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,3484,125,-1306,-1,-6,0,1,0
300,BRONZE,2045,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2,-1928,-2,-6590,0,-2,0,-1,1
7674,BRONZE,1892,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-11,-5507,-106,-12716,0,8,0,0,0
7149,BRONZE,1386,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,0,-5177,-75,-1087,1,10,0,-2,-1
18372,BRONZE,1231,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-5,1087,46,51,0,-3,0,-1,-1
1523,BRONZE,2691,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,3,4995,97,-353,0,-3,0,-1,0
11572,BRONZE,1661,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5,-3850,-87,-1548,0,5,0,-2,-1
5946,BRONZE,1265,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,4478,15,3904,-2,-9,0,2,1
4175,BRONZE,946,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-9,-4760,-88,-5446,2,8,0,-2,0
13331,BRONZE,2193,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,3,1346,-38,5607,0,1,0,0,1
23565,BRONZE,1951,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,2,1854,45,6037,0,-6,0,-1,-1
15861,BRONZE,1648,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,3,1917,82,-3047,0,5,0,0,-1
18103,BRONZE,1790,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7,303,50,3859,-1,-4,0,2,1
22587,BRONZE,1370,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,8,8298,140,5745,0,-4,0,-1,1
11228,BRONZE,1833,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1,-179,41,-3021,0,-2,0,0,0
4017,BRONZE,2050,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,6,4037,13,2566,0,-5,0,-1,0
10645,BRONZE,2326,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-4,828,-11,6535,-2,-2,0,-1,1
487,BRONZE,1800,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-5,52,-39,-1764,-1,-4,0,2,1
14525,BRONZE,1602,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,5,2663,58,537,-1,-3,0,-2,-1
685,BRONZE,1896,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,4,576,-22,2923,0,-4,0,1,-1
15043,BRONZE,2558,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-4,-1421,26,-2140,0,3,0,0,-1
18856,BRONZE,1485,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,3,4502,26,5990,-1,-2,0,0,1
1528,BRONZE,1299,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-12,-7146,3,-10325,0,3,0,0,-1
5296,BRONZE,1190,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-11,-8553,-87,-6883,1,6,0,-2,-1
1949,BRONZE,1015,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15,10728,119,18508,-1,-10,0,2,1
24717,BRONZE,2316,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,10,5604,76,3582,0,-4,0,0,1
14182,BRONZE,1860,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0,-89,3,-1793,0,1,0,1,0
29761,BRONZE,1646,-1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,-2,2631,63,955,-1,-1,0,1,1
