,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
14830,GRANDMASTERS,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,3,-837,66,21804,0,3,1,1,0,-1
24257,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11,823,-29,14861,0,-6,0,2,-2,-1
19560,GRANDMASTERS,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-6,-41,32,-18958,1,3,0,2,0,0
22912,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,4,4904,90,15223,0,4,0,1,-1,0
19061,GRANDMASTERS,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1,3088,34,-27529,1,6,0,0,0,0
17746,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,2533,2,9314,1,1,0,0,2,0
18586,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-12,-11742,-129,-11400,-9,-14,-1,-2,-1,-1
19654,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0,-5839,-20,2875,-1,-2,0,3,-2,-1
19942,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,9,6662,105,22679,5,4,1,3,-1,1
21896,GRANDMASTERS,1.0,0.0,1.0,1.0,1.0,1.0,1.0,18,15323,109,18489,3,8,0,2,1,1
24141,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-810,-30,-5058,-2,-8,0,-1,-2,0
19695,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-7,-3158,45,-6434,2,-3,0,-1,2,-1
16265,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-15,-8030,29,-12642,-6,1,0,-2,-1,-1
12499,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-11,-11318,-123,-567,-6,-5,0,0,-1,-1
25349,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-4,-1785,-7,11560,-1,-7,0,1,-1,0
20822,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-18,-13407,-58,-28763,-8,-7,-1,-3,1,0
21797,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,13,4376,36,-18336,3,-1,1,1,-2,0
21174,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-2,-5127,-28,3734,-1,-2,0,-1,-2,-1
17468,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-13,-8645,-64,-10751,0,-5,0,-1,-2,-1
23150,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,11,14696,156,18714,3,2,0,3,-1,1
23314,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,15,10897,122,32366,4,2,1,1,-2,1
16642,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-7,-3445,-52,-5482,0,-3,0,1,-1,1
20059,GRANDMASTERS,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-4,1072,42,5324,2,4,0,3,1,0
24456,GRANDMASTERS,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-6,-3054,-42,5936,-3,5,0,1,0,-1
26069,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-5,-3540,-20,-1969,-2,3,0,-1,-2,0
13123,GRANDMASTERS,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-2,-2322,-182,-11194,-2,-5,0,-1,1,0
17347,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,8,5510,17,13214,2,3,0,0,2,0
26026,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-5,-7715,-116,-9590,-3,3,0,2,-2,0
14997,GRANDMASTERS,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,3,1619,-31,11274,1,6,0,1,0,0
19431,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5881,54,-6608,3,7,0,1,1,0
24799,GRANDMASTERS,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2,2210,104,-14749,2,5,0,3,2,-1
15208,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,5,4288,-69,10649,2,-5,0,-2,0,1
26424,GRANDMASTERS,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-11,-4191,96,449,-1,3,0,0,1,-1
19183,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0,4647,41,3468,-1,-5,0,-3,-2,1
14075,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,7,995,17,12140,1,4,0,2,1,0
22970,GRANDMASTERS,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-8,-1953,-17,12625,-2,-1,-1,1,-2,0
20213,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2,7812,10,4158,3,1,0,-1,1,1
14857,GRANDMASTERS,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-2796,8,9935,-4,-3,0,-1,-2,0
13434,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8831,42,14968,3,4,0,2,2,1
17198,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-11,-6170,-13,-9544,-2,-2,0,-1,1,0
