,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
15201,BRONZE,1566,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,1,1,0,1,-1
17577,BRONZE,1591,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0,-1,-1,1,0,1,0,-1,1
6667,BRONZE,2017,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
30869,BRONZE,1222,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1,1,-1,-1,0,-1,0,-1,0
6925,BRONZE,1733,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1,1,-1,1,0,0,0,1,0
2707,BRONZE,1824,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,0,-1
4804,BRONZE,1729,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,0,1,0,0,1
4789,BRONZE,1795,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,-1,1,0,-1,0,0,1
4459,BRONZE,1243,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1,1,1,1,-1,-1,0,-1,1
9061,BRONZE,1398,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
2728,BRONZE,1170,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1,-1,1,-1,0,1,0,-1,0
3765,BRONZE,1329,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1,-1,-1,-1,1,1,0,0,0
13058,BRONZE,1243,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
29511,BRONZE,1754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,0,1,0,-1,-1
