,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
4523,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
97,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1,1,1,0,1,0,0,0,1
1750,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0,1,1,1,-1,1,0,0,0,-1
3590,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,-1,0,-1,0,0,-1,-1
2875,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1,1,-1,1,1,-1,1,0,-1,1
646,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,1,0,0,1,-1
4343,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,-1,1,0,0,-1,0
450,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
3734,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,1,0,1,0,0,-1,1
4383,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
2344,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
1164,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,1,0,0,0,1,1
25,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-1,-1,1,-1,-1,1,0,0,-1,0
1518,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0,1,1,-1,-1,1,0,0,1,-1
3638,BRONZE,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
3302,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,1,-1,1,0,0,1,-1
3582,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,1
1787,BRONZE,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,1,1,-1,1,0,0,1,-1
4226,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
391,BRONZE,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1,1,1,1,1,1,1,0,1,0
3451,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
2776,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,-1,-1,1,-1,-1,0,0,1,-1
934,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
1127,BRONZE,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,1,-1,-1,1,-1,-1,0,0,-1,-1
312,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,1,0
3361,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,1,-1,-1,0,-1
