,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
11250,BRONZE,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-8,-5808,-94,-11616,-2,-6,0,-3,-1,0
3680,BRONZE,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,9,-939,-109,-3492,2,-3,0,-3,-2,0
10280,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-5245,-108,-3977,-1,-7,0,0,-1,1
6513,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-2577,14,-10059,-3,-4,0,3,-1,0
17095,BRONZE,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-14,-4328,63,-22514,-3,2,-1,1,-1,0
10035,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-15,-6689,69,-2818,-3,-4,0,-1,0,0
10714,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-11,-5616,-21,-20568,-3,-1,0,0,-1,0
18344,BRONZE,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2,-696,-6,-293,-4,-8,0,-1,-2,0
2377,BRONZE,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-13,-2166,-21,-6533,2,-1,0,-4,2,0
5269,BRONZE,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,2179,-21,11724,1,2,0,-3,-2,1
16163,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-15,-8628,-11,-18345,-2,-4,0,-1,0,-1
8415,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,7021,77,17562,3,0,0,3,1,1
8675,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0,2946,-30,8520,0,-1,0,-1,0,0
3623,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,19,10632,105,23657,5,7,0,3,1,0
22801,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-3,-409,-75,-2153,1,-1,0,3,1,0
2461,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,6,-1722,-133,-5524,-1,-3,0,-1,0,0
7291,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,4,1416,-47,22247,0,-2,0,1,2,0
222,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,6,4363,67,3898,4,7,0,0,-1,0
