,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
3021,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,-1,-1
4494,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
1321,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1,-1,1,-1,-1,1,-1,0,-1,-1
2722,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,1,-1,0,0,0,0,0,1
1689,BRONZE,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0,-1,-1,1,-1,-1,0,0,1,0
3009,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,-1,0,-1,-1
860,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1,-1,-1,-1,-1,0,0,-1,-1
2041,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,-1,1,1,0,0,-1,1
454,BRONZE,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1,1,1,1,1,0,1,0,1,0
523,BRONZE,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,-1,1,1,1,-1,1,1
759,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,1,0,0,-1,0
869,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,-1,1,1,1,0,0,1,-1
4861,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,0,-1
336,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1,0,0,1,1
3827,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,1,-1,-1,-1,0,0,-1,0
681,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1,1,1,1,1,1,0,0,-1,0
2889,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,-1,-1,-1,0,0,-1,0
922,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,1,1,0,-1,1
445,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,1,0,-1,1,1
3769,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,-1,1,0,1,1,-1
3244,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,-1,0,0,1,1
766,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,-1,0,0,1,1
1137,BRONZE,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1,1,1,1,0,-1,0,0,-1,-1
2205,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,1,1,1,0,-1,-1
1952,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,-1,1,-1,1,0,0,1,-1
2909,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
761,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,-1,1,1,0,0,-1,1
2492,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,1,0,0,-1,0
3883,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,1,-1,0,0,0,-1,-1
1794,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,1,-1,0,1,-1,0
439,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
4748,BRONZE,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1,1,-1,1,1,1,0,0,1,1
1520,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1,1,1,1,0,0,0,-1,0
1980,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,1,0,1,0
4247,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,1
1138,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1,1,1,1,1,1,0,0,0,1
2817,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1,1,-1,1,-1,-1,0,0,0,0
4320,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,1,0,0,0
4816,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1,-1,1,-1,-1,0,0,0,1,-1
89,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,1,0
2952,BRONZE,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,-1,-1,-1,-1,0,0,-1,-1
4885,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0,1,-1,-1,-1,-1,0,1,1,-1
218,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,-1,1
799,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,1,-1,1,1,0,0,0,1
1752,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,1,0,0,-1,-1
596,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,1,0,1,0
3191,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0
3358,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1,1,-1,1,0,0,-1,-1
4772,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,-1,1
3577,BRONZE,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1,1,1,1,0,-1,0,0,1,-1
3320,BRONZE,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1,1,-1,0,1,0,0,-1,1
112,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
798,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,-1,1,-1,0,1,-1,0
2012,BRONZE,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,0,-1,0,0,1,-1
3831,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
3888,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,1,1,-1
