tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
eu_masters_summer_2020,104727755403949103,104727755403949102,10.16,2020-09-11 20:51:10,1,VGIA,WLG,VGIA,28518,0,3,0,5,1,527,21891,0,0,0,2,1,443
eu_masters_summer_2020,104727755403949117,104727755403949116,10.16,2020-09-12 15:56:10,1,GO,FNCR,GO,22906,0,1,0,2,2,479,23154,0,0,0,3,0,482
eu_masters_summer_2020,104727755403949127,104727755403949126,10.16,2020-09-12 16:49:00,1,MOUZ,IF,MOUZ,22858,0,1,0,9,0,364,19798,0,0,0,3,1,384
eu_masters_summer_2020,104727755403949125,104727755403949124,10.16,2020-09-12 17:47:00,1,MOUZ,GO,MOUZ,23943,0,1,0,9,2,383,21180,0,0,0,5,0,427
eu_masters_summer_2020,104727755403949119,104727755403949118,10.16,2020-09-12 18:43:00,1,IF,FNCR,FNCR,17727,0,0,0,2,0,361,18625,0,0,0,3,1,362
eu_masters_summer_2020,104727755403949123,104727755403949122,10.16,2020-09-12 19:33:10,1,IF,GO,GO,25102,0,1,0,7,1,456,24751,0,1,0,9,1,436
eu_masters_summer_2020,104727755403949121,104727755403949120,10.16,2020-09-12 20:16:00,1,FNCR,MOUZ,MOUZ,22769,0,0,0,6,1,420,27170,0,2,0,9,0,446
eu_masters_summer_2020,104853999112581681,104853999112516144,10.16,2020-09-13 15:55:20,1,GL,MRS,GL,25537,0,1,0,7,2,489,22125,0,0,0,4,0,462
eu_masters_summer_2020,104858589300421320,104858589300421319,10.16,2020-09-13 16:53:10,1,GL,RGO,RGO,23262,0,0,0,1,2,542,24520,0,0,0,3,0,533
eu_masters_summer_2020,104727755403949129,104727755403949128,10.16,2020-09-15 15:55:40,1,GL,VGIA,GL,16504,0,0,0,1,0,365,17317,0,0,0,2,1,357
eu_masters_summer_2020,104727755403949130,104727755403949128,10.16,2020-09-15 17:00:30,2,VGIA,GL,VGIA,26137,0,3,0,2,2,490,25633,0,2,0,3,0,484
eu_masters_summer_2020,104727755403949131,104727755403949128,10.16,2020-09-15 17:56:10,3,GL,VGIA,GL,24172,0,1,0,2,1,499,22177,0,0,0,2,1,443
eu_masters_summer_2020,104727755403949133,104727755403949132,10.16,2020-09-15 18:42:50,1,GO,LDLC,GO,22605,0,0,0,5,1,441,21596,0,0,0,2,1,466
eu_masters_summer_2020,104727755403949134,104727755403949132,10.16,2020-09-15 19:38:10,2,GO,LDLC,LDLC,25624,0,3,0,4,0,459,22688,0,0,0,3,2,444
eu_masters_summer_2020,104727755403949135,104727755403949132,10.16,2020-09-15 20:36:40,3,GO,LDLC,LDLC,23378,0,1,0,2,0,477,26553,0,1,0,8,2,484
eu_masters_summer_2020,104727755403949137,104727755403949136,10.16,2020-09-16 15:56:20,1,RGO,MSFP,RGO,20936,0,0,0,1,0,448,21412,0,0,0,3,1,456
eu_masters_summer_2020,104727755403949138,104727755403949136,10.16,2020-09-16 16:55:20,2,MSFP,RGO,RGO,21182,0,0,0,3,2,456,21036,0,0,0,1,0,476
eu_masters_summer_2020,104727755403949141,104727755403949140,10.16,2020-09-16 17:48:10,1,MOUZ,K1,,21901,0,0,0,3,1,450,21933,0,1,0,2,0,429
eu_masters_summer_2020,104727755403949142,104727755403949140,10.16,2020-09-16 18:33:50,2,K1,MOUZ,,24143,0,2,0,4,0,457,21077,0,0,0,2,2,443
eu_masters_summer_2020,104727755403949143,104727755403949140,10.16,2020-09-16 19:30:00,3,MOUZ,K1,,23181,0,0,0,4,1,460,22733,0,0,0,3,1,496
eu_masters_summer_2020,104727755403949145,104727755403949144,10.16,2020-09-19 16:10:00,1,LDLC,GL,LDLC,22300,0,0,0,4,1,454,22698,0,0,0,5,1,471
eu_masters_summer_2020,104727755403949146,104727755403949144,10.16,2020-09-19 17:09:00,2,GL,LDLC,GL,25545,0,2,0,4,0,530,21502,0,0,0,2,2,468
eu_masters_summer_2020,104727755403949147,104727755403949144,10.16,2020-09-19 18:02:30,3,LDLC,GL,GL,19723,0,0,0,1,0,406,21320,0,1,0,4,2,418
eu_masters_summer_2020,104727755403949149,104727755403949148,10.16,2020-09-19 18:57:10,1,RGO,MOUZ,RGO,23826,0,1,0,5,1,453,21149,0,0,0,4,1,421
eu_masters_summer_2020,104727755403949150,104727755403949148,10.16,2020-09-19 19:53:10,2,MOUZ,RGO,RGO,26019,0,1,0,8,2,460,22427,0,1,0,2,0,448
eu_masters_summer_2020,104727755403949153,104727755403949152,10.16,2020-09-20 16:07:00,1,GL,RGO,RGO,19599,0,0,0,0,0,454,21075,0,0,0,4,2,444
